pkg;class;WMC;DIT;NOC;CBO;RFC;LCOM;Ca;NPM
org.sipdroid.sipua;org.sipdroid.sipua.BuildConfig;1;1;1;0;2;0;0;1
org.zoolu.sip.call;org.zoolu.sip.call.CallListener;14;1;1;3;14;91;1;14
org.zoolu.sdp;org.zoolu.sdp.SdpParser;11;2;1;9;37;49;1;11
org.zoolu.net;org.zoolu.net.UdpPacket;17;1;1;1;34;0;1;14
org.zoolu.sip.dialog;org.zoolu.sip.dialog.DialogInfo;23;1;1;1;24;181;1;23
org.sipdroid.net;org.sipdroid.net.RtpPacket;37;1;1;1;40;0;1;30
org.sipdroid.sipua.phone;org.sipdroid.sipua.phone.CallerInfoAsyncQuery$OnQueryCompleteListener;1;1;1;1;1;0;1;1
org.zoolu.sip.provider;org.zoolu.sip.provider.TcpTransport;12;1;1;10;41;0;1;12
org.zoolu.tools;org.zoolu.tools.TimerListener;1;1;1;1;1;0;1;1
org.zoolu.net;org.zoolu.net.SocketAddress;10;1;1;1;23;17;1;9
org.sipdroid.sipua.phone;org.sipdroid.sipua.phone.Phone$State;4;2;1;0;7;4;0;2
org.sipdroid.sipua.ui;org.sipdroid.sipua.ui.Sipdroid$CallsCursor;3;2;1;2;4;3;1;3
org.zoolu.sip.header;org.zoolu.sip.header.NameAddressHeader;6;3;1;6;17;9;1;5
org.zoolu.sip.provider;org.zoolu.sip.provider.SipInterfaceListener;1;1;1;2;1;0;1;1
org.zoolu.sip.header;org.zoolu.sip.header.ProxyRequireHeader;2;3;1;2;4;1;1;2
org.zoolu.net;org.zoolu.net.UdpProvider;13;2;1;4;30;28;1;12
org.zoolu.sip.header;org.zoolu.sip.header.CSeqHeader;8;2;1;3;19;8;1;8
org.zoolu.tools;org.zoolu.tools.Random;11;1;1;0;20;25;0;10
org.zoolu.sip.provider;org.zoolu.sip.provider.MethodIdentifier;2;2;1;1;4;1;1;2
org.sipdroid.sipua;org.sipdroid.sipua.SipdroidEngine;34;1;1;25;106;379;1;30
org.zoolu.sip.provider;org.zoolu.sip.provider.SipInterface;8;1;1;6;15;0;1;8
org.zoolu.tools;org.zoolu.tools.AssertException;2;4;1;0;4;1;0;2
org.sipdroid.sipua.phone;org.sipdroid.sipua.phone.Phone;6;1;1;4;6;15;1;6
org.sipdroid.sipua.ui;org.sipdroid.sipua.ui.OneShotLocation;3;2;1;6;16;3;1;3
org.sipdroid.sipua.ui;org.sipdroid.sipua.ui.SIP;3;5;1;10;26;3;1;2
org.zoolu.sip.provider;org.zoolu.sip.provider.Transport;4;1;1;2;4;6;1;4
org.sipdroid.codecs;org.sipdroid.codecs.Codecs$CodecSettings;6;7;1;8;7;15;1;6
org.zoolu.sip.header;org.zoolu.sip.header.AcceptHeader;5;3;1;2;7;8;1;5
org.zoolu.sip.provider;org.zoolu.sip.provider.SipProviderExceptionListener;1;1;1;1;1;0;1;1
org.zoolu.sip.message;org.zoolu.sip.message.BaseSipMethods;12;1;1;0;14;66;0;10
org.sipdroid.net;org.sipdroid.net.SipdroidSocket;9;2;1;2;29;0;1;8
org.zoolu.sip.message;org.zoolu.sip.message.SipMethods;7;2;1;1;9;21;1;6
org.sipdroid.media;org.sipdroid.media.CallRecorder;6;1;1;2;19;0;1;5
org.sipdroid.sipua.phone;org.sipdroid.sipua.phone.SlidingCardManager;17;1;1;7;18;136;1;7
org.zoolu.tools;org.zoolu.tools.InnerTimer;2;2;1;1;7;0;1;2
org.sipdroid.sipua.ui;org.sipdroid.sipua.ui.CallScreen;12;5;1;13;13;66;1;9
org.sipdroid.codecs;org.sipdroid.codecs.SILK8;7;2;1;2;12;21;1;5
org.zoolu.sdp;org.zoolu.sdp.MediaDescriptor;14;1;1;4;39;0;1;14
org.sipdroid.sipua.ui;org.sipdroid.sipua.ui.VideoCamera;24;6;1;26;25;276;1;17
org.zoolu.sdp;org.zoolu.sdp.ConnectionField;8;2;1;2;23;8;1;8
org.zoolu.sip.dialog;org.zoolu.sip.dialog.ExtendedInviteDialog;17;4;1;30;104;90;1;15
org.zoolu.tools;org.zoolu.tools.Mangle;33;1;1;0;52;528;0;25
com.jstun.core.attribute;com.jstun.core.attribute.ReflectedFrom;3;3;1;3;11;1;1;2
org.zoolu.sip.header;org.zoolu.sip.header.BaseSipHeaders;30;1;1;0;32;435;0;29
org.sipdroid.sipua.ui;org.sipdroid.sipua.ui.PhoneStart;2;2;1;6;13;1;1;2
com.jstun.core.attribute;com.jstun.core.attribute.MessageAttributeParsingException;1;4;1;1;2;0;1;1
org.zoolu.sip.header;org.zoolu.sip.header.AcceptContactHeader;3;3;1;2;6;3;1;3
org.sipdroid.sipua.phone;org.sipdroid.sipua.phone.CallerInfoAsyncQuery$CallerInfoAsyncQueryHandler;7;3;1;15;19;13;1;0
org.sipdroid.sipua.phone;org.sipdroid.sipua.phone.ContactsAsyncHelper$OnImageLoadCompleteListener;1;1;1;1;1;0;1;1
org.zoolu.sip.header;org.zoolu.sip.header.MultipleHeader;28;1;1;3;55;0;1;27
org.zoolu.sip.provider;org.zoolu.sip.provider.SipPromisqueInterface;1;2;1;4;2;0;1;1
org.sipdroid.sipua.phone;org.sipdroid.sipua.phone.Connection$DisconnectCause;4;2;1;0;7;4;0;2
com.jstun.core.attribute;com.jstun.core.attribute.MessageIntegrity;3;2;1;2;4;3;1;3
org.zoolu.sdp;org.zoolu.sdp.OriginField;9;2;1;2;18;16;1;9
org.sipdroid.codecs;org.sipdroid.codecs.CodecBase;23;1;1;8;38;185;1;18
org.zoolu.sip.header;org.zoolu.sip.header.ExpiresHeader;7;3;1;4;20;9;1;7
org.zoolu.sip.dialog;org.zoolu.sip.dialog.NotifierDialogListener;4;1;1;3;4;6;1;4
org.sipdroid.sipua.ui;org.sipdroid.sipua.ui.VideoCameraNew;2;1;1;1;4;1;1;1
org.zoolu.sip.address;org.zoolu.sip.address.SipURL;33;1;1;2;71;256;1;32
org.zoolu.sip.header;org.zoolu.sip.header.AllowEventsHeader;5;3;1;2;10;10;1;5
org.sipdroid.sipua.phone;org.sipdroid.sipua.phone.CallCard;34;4;1;21;60;551;1;12
org.zoolu.sdp;org.zoolu.sdp.SdpField;8;1;1;1;15;0;1;8
org.sipdroid.sipua.ui;org.sipdroid.sipua.ui.VideoPreview;9;5;1;5;25;12;1;6
org.sipdroid.media;org.sipdroid.media.MediaLauncher;6;1;1;0;6;15;0;6
org.zoolu.sip.provider;org.zoolu.sip.provider.Identifier;6;1;1;0;9;0;0;3
org.sipdroid.codecs;org.sipdroid.codecs.alaw;5;2;1;3;10;10;1;4
org.sipdroid.sipua.phone;org.sipdroid.sipua.phone.CallerInfoAsyncQuery$QueryPoolException;1;5;1;1;2;0;1;1
org.sipdroid.sipua.ui;org.sipdroid.sipua.ui.CreateAccount;5;2;1;7;6;10;1;3
org.zoolu.sip.header;org.zoolu.sip.header.CallIdHeader;4;2;1;2;8;4;1;4
org.zoolu.sip.header;org.zoolu.sip.header.UserAgentHeader;4;2;1;1;6;4;1;4
org.sipdroid.sipua.phone;org.sipdroid.sipua.phone.CallerInfoAsyncQuery$CallerInfoAsyncQueryHandler$CallerInfoWorkerHandler;2;3;1;8;6;1;1;2
org.zoolu.sip.header;org.zoolu.sip.header.WwwAuthenticateHeader;3;3;1;2;6;3;1;3
org.zoolu.tools;org.zoolu.tools.LogLevel;1;1;1;0;2;0;0;1
org.zoolu.sip.header;org.zoolu.sip.header.ProxyAuthorizationHeader;3;4;1;2;6;1;1;3
org.zoolu.sip.header;org.zoolu.sip.header.EventHeader;7;3;1;3;14;19;1;6
org.zoolu.sip.dialog;org.zoolu.sip.dialog.Dialog;18;2;1;17;63;123;1;7
org.zoolu.sip.provider;org.zoolu.sip.provider.ConnectionIdentifier;5;2;1;3;16;10;1;4
org.zoolu.tools;org.zoolu.tools.Assert;6;1;1;1;11;15;1;5
org.zoolu.tools;org.zoolu.tools.MD5;12;2;1;1;15;58;1;9
org.zoolu.sip.message;org.zoolu.sip.message.SipResponses;4;2;1;1;7;0;1;3
org.sipdroid.sipua.phone;org.sipdroid.sipua.phone.ContactsAsyncHelper;6;2;1;12;18;13;1;4
org.sipdroid.sipua.phone;org.sipdroid.sipua.phone.CallerInfoAsyncQuery$CookieWrapper;2;1;1;1;3;1;1;0
org.zoolu.sip.header;org.zoolu.sip.header.StatusLine;6;1;1;0;12;5;0;6
org.sipdroid.sipua.phone;org.sipdroid.sipua.phone.ContactsAsyncHelper$WorkerHandler;2;2;1;9;9;0;1;2
org.zoolu.sip.dialog;org.zoolu.sip.dialog.NotifierDialog;32;3;1;22;78;364;1;28
org.zoolu.sdp;org.zoolu.sdp.SessionNameField;4;2;1;1;6;6;1;4
org.sipdroid.sipua;org.sipdroid.sipua.RegisterAgent;26;1;1;40;131;189;1;17
org.sipdroid.sipua.ui;org.sipdroid.sipua.ui.Settings;18;7;1;9;19;153;1;13
org.zoolu.sdp;org.zoolu.sdp.AttributeField;5;2;1;1;14;8;1;5
org.zoolu.tools;org.zoolu.tools.MD5OTP;13;1;1;1;33;76;1;7
org.zoolu.sip.call;org.zoolu.sip.call.Call;40;1;1;9;80;0;1;39
com.jstun.core.attribute;com.jstun.core.attribute.MessageAttribute;10;1;1;18;33;41;1;9
org.sipdroid.media;org.sipdroid.media.RtpStreamSender;16;2;1;23;83;80;1;8
org.zoolu.sip.transaction;org.zoolu.sip.transaction.InviteTransactionServer;11;3;1;18;48;0;1;9
org.sipdroid.sipua.phone;org.sipdroid.sipua.phone.CallStateException;2;3;1;0;4;1;0;2
org.zoolu.sdp;org.zoolu.sdp.TimeField;6;2;1;2;15;13;1;6
org.zoolu.sip.header;org.zoolu.sip.header.RouteHeader;2;4;1;3;4;1;1;2
org.sipdroid.codecs;org.sipdroid.codecs.Codecs;7;1;1;4;8;21;1;6
org.zoolu.tools;org.zoolu.tools.Timer;9;1;1;4;13;16;1;7
org.zoolu.sip.provider;org.zoolu.sip.provider.SipStack;8;2;1;4;32;18;1;3
org.zoolu.sip.transaction;org.zoolu.sip.transaction.TransactionClient;9;2;1;13;37;0;1;6
com.jstun.core.header;com.jstun.core.header.MessageHeaderParsingException;1;4;1;1;2;0;1;1
org.zoolu.net;org.zoolu.net.TcpConnection;12;2;1;3;28;38;1;11
com.jstun.core.attribute;com.jstun.core.attribute.MessageAttributeException;1;3;1;0;2;0;0;1
com.jstun.core.attribute;com.jstun.core.attribute.ChangedAddress;3;3;1;4;11;1;1;2
com.jstun.core.attribute;com.jstun.core.attribute.ResponseAddress;3;3;1;4;11;1;1;2
org.sipdroid.sipua;org.sipdroid.sipua.RegisterAgentListener;3;1;1;2;3;3;1;3
org.zoolu.sip.header;org.zoolu.sip.header.SubjectHeader;3;2;1;1;5;3;1;3
org.sipdroid.sipua.ui;org.sipdroid.sipua.ui.OneShotAlarm2;2;2;1;6;12;1;1;2
org.zoolu.sip.header;org.zoolu.sip.header.FromHeader;5;5;1;4;10;10;1;5
org.zoolu.tools;org.zoolu.tools.Base64;5;1;1;0;20;4;0;4
org.zoolu.sip.provider;org.zoolu.sip.provider.SipParser;29;2;1;9;97;234;1;28
org.zoolu.sip.message;org.zoolu.sip.message.Message;31;2;1;8;46;465;1;31
org.sipdroid.sipua.phone;org.sipdroid.sipua.phone.ContactsAsyncHelper$WorkerArgs;2;1;1;5;3;1;1;0
org.zoolu.tools;org.zoolu.tools.InnerTimerST;3;2;1;1;7;0;1;2
com.jstun.core.util;com.jstun.core.util.Address;8;1;1;2;23;0;1;8
org.zoolu.sip.call;org.zoolu.sip.call.ExtendedCallListener;5;1;1;4;5;10;1;5
org.zoolu.sip.transaction;org.zoolu.sip.transaction.AckTransactionServerListener;1;1;1;1;1;0;1;1
org.sipdroid.sipua.ui;org.sipdroid.sipua.ui.InCallScreen;21;6;1;20;22;210;1;17
org.zoolu.sip.dialog;org.zoolu.sip.dialog.InviteDialog;42;3;1;30;132;533;1;38
org.sipdroid.codecs;org.sipdroid.codecs.BV16;7;2;1;2;12;21;1;5
org.zoolu.sip.provider;org.zoolu.sip.provider.TransportListener;2;1;1;2;2;1;1;2
org.sipdroid.sipua.ui;org.sipdroid.sipua.ui.Sipdroid;12;5;1;10;13;66;1;11
org.sipdroid.sipua.ui;org.sipdroid.sipua.ui.Caller;7;2;1;19;69;21;1;2
org.zoolu.sip.header;org.zoolu.sip.header.DateHeader;3;3;1;2;6;3;1;3
org.sipdroid.codecs;org.sipdroid.codecs.GSM;7;2;1;8;18;21;1;5
org.sipdroid.media;org.sipdroid.media.RtpStreamSender$1;1;3;1;0;5;0;0;0
org.zoolu.sip.provider;org.zoolu.sip.provider.TransactionIdentifier;3;2;1;1;11;1;1;3
org.sipdroid.sipua.phone;org.sipdroid.sipua.phone.ButtonGridLayout;6;3;1;4;19;0;1;3
org.sipdroid.sipua.phone;org.sipdroid.sipua.phone.ContactsAsyncHelper$ImageTracker;7;1;1;5;10;0;1;7
org.zoolu.sip.dialog;org.zoolu.sip.dialog.InviteDialogListener;18;1;1;4;18;153;1;18
org.sipdroid.net.impl;org.sipdroid.net.impl.OSNetworkSystem;97;1;1;0;99;4652;0;48
org.sipdroid.sipua.ui;org.sipdroid.sipua.ui.Activity2;2;5;1;4;9;1;1;2
org.zoolu.tools;org.zoolu.tools.ExceptionPrinter;2;1;1;0;7;1;0;2
org.sipdroid.sipua;org.sipdroid.sipua.UserAgent$2;2;2;1;1;4;0;1;1
org.sipdroid.sipua;org.sipdroid.sipua.UserAgent$3;2;2;1;1;4;0;1;1
org.sipdroid.sipua;org.sipdroid.sipua.UserAgent$1;2;2;1;2;5;0;1;1
org.zoolu.tools;org.zoolu.tools.Configurable;1;1;1;0;1;0;0;1
org.zoolu.sip.transaction;org.zoolu.sip.transaction.AckTransactionClient;4;2;1;8;15;0;1;3
com.jstun.core.attribute;com.jstun.core.attribute.MappedAddress;3;3;1;4;11;1;1;2
org.sipdroid.sipua.ui;org.sipdroid.sipua.ui.ChangeAccount;3;5;1;8;13;3;1;2
