pkg;class;WMC;DIT;NOC;CBO;RFC;LCOM;Ca;NPM
com.csipsimple.wizards.impl;com.csipsimple.wizards.impl.DirectDial;3;3;1;1;4;3;1;1
com.csipsimple.widgets;com.csipsimple.widgets.RegistrationNotification;7;2;1;3;8;21;1;7
com.csipsimple.wizards.impl;com.csipsimple.wizards.impl.Betamax$AccountBalance;5;3;1;4;6;10;1;4
com.csipsimple.wizards.impl;com.csipsimple.wizards.impl.MTel;8;3;1;3;9;28;1;6
com.csipsimple.ui.outgoingcall;com.csipsimple.ui.outgoingcall.OutgoingAccountsAdapter;7;1;1;5;8;21;1;5
com.csipsimple.wizards.impl;com.csipsimple.wizards.impl.Tlenofon;6;3;1;3;11;15;1;4
com.csipsimple.utils;com.csipsimple.utils.ExtraPlugins$DynCodecInfos;2;1;1;9;13;0;1;2
com.csipsimple.wizards.impl;com.csipsimple.wizards.impl.NeufTalk;5;3;1;3;9;10;1;3
com.csipsimple.wizards.impl;com.csipsimple.wizards.impl.MondotalkCreate$AccountCreationResult;1;1;1;1;2;0;1;0
com.csipsimple.ui.calllog;com.csipsimple.ui.calllog.CallTypeIconsView$Resources;1;1;1;3;2;0;1;1
com.csipsimple.service;com.csipsimple.service.OutgoingCall;3;2;1;11;36;1;1;2
com.csipsimple.ui.calllog;com.csipsimple.ui.calllog.GroupingListAdapter$1;3;2;1;3;5;1;1;2
com.csipsimple.ui.calllog;com.csipsimple.ui.calllog.GroupingListAdapter$2;3;2;1;2;6;0;1;2
com.csipsimple.wizards.impl;com.csipsimple.wizards.impl.MagicJack;3;4;1;3;10;3;1;2
com.csipsimple.utils.contacts;com.csipsimple.utils.contacts.ContactsUtils5;22;2;1;10;23;231;1;21
com.csipsimple.wizards.impl;com.csipsimple.wizards.impl.QuaesTel;6;3;1;2;7;15;1;4
com.csipsimple.utils.contacts;com.csipsimple.utils.contacts.ContactsUtils3;21;2;1;10;22;210;1;21
com.csipsimple.wizards.impl;com.csipsimple.wizards.impl.Chattaboxx;6;3;1;5;12;15;1;4
com.csipsimple.wizards.impl;com.csipsimple.wizards.impl.Hibritel;5;3;1;3;10;10;1;3
com.csipsimple.wizards.impl;com.csipsimple.wizards.impl.Mobex;8;3;1;6;9;28;1;5
com.csipsimple.ui.filters;com.csipsimple.ui.filters.AccountFiltersListFragment;18;2;1;14;19;153;1;14
com.csipsimple.widgets.contactbadge;com.csipsimple.widgets.contactbadge.OverlayedQuickContactBadge;5;4;1;6;10;8;1;4
com.csipsimple.ui.prefs;com.csipsimple.ui.prefs.AudioTester$MonitorThread;3;2;1;1;4;3;1;2
com.csipsimple.wizards.impl;com.csipsimple.wizards.impl.Odorik;6;3;1;2;7;15;1;4
com.csipsimple.ui.calllog;com.csipsimple.ui.calllog.CallLogAdapter;19;3;1;13;20;171;1;11
com.csipsimple.wizards.impl;com.csipsimple.wizards.impl.OSTel;8;3;1;5;9;28;1;5
com.csipsimple.wizards.impl;com.csipsimple.wizards.impl.A1;4;3;1;2;7;6;1;2
com.csipsimple.wizards.impl;com.csipsimple.wizards.impl.Zentc;7;3;1;5;14;21;1;5
com.csipsimple.utils.clipboard;com.csipsimple.utils.clipboard.Clipboard1;3;2;1;3;6;1;1;2
com.csipsimple.wizards.impl;com.csipsimple.wizards.impl.Messagenet;4;3;1;4;8;6;1;2
com.csipsimple.service.impl;com.csipsimple.service.impl.SipCallSessionImpl;22;2;1;1;23;211;1;22
com.csipsimple.wizards.impl;com.csipsimple.wizards.impl.MegaTel;5;3;1;2;6;10;1;3
com.csipsimple.ui.account;com.csipsimple.ui.account.AccountsChooserListActivity;3;1;1;3;4;3;1;1
com.csipsimple.ui.calllog;com.csipsimple.ui.calllog.CallLogListItemHelper;4;1;1;6;5;6;1;2
com.csipsimple.wizards.impl;com.csipsimple.wizards.impl.SecureCall;6;3;1;3;14;15;1;4
com.csipsimple.utils;com.csipsimple.utils.TimerWrapper;15;2;1;10;16;105;1;6
