pkg;class;WMC;DIT;NOC;CBO;RFC;LCOM;Ca;NPM
com.google.zxing.client.android.share;com.google.zxing.client.android.share.AppPickerActivity;4;6;1;9;23;4;1;1
com.google.zxing.client.android;com.google.zxing.client.android.LocaleManager;11;1;1;3;29;47;1;6
com.google.zxing.client.android.result.supplement;com.google.zxing.client.android.result.supplement.SupplementalInfoRetriever;8;2;1;18;42;22;1;2
com.google.zxing.client.android.result;com.google.zxing.client.android.result.TelResultHandler;7;2;1;5;18;15;1;6
com.google.zxing.client.android.camera;com.google.zxing.client.android.camera.CameraConfigurationManager;9;1;1;12;41;18;1;0
com.google.zxing.client.android.history;com.google.zxing.client.android.history.HistoryActivity$1;2;1;1;4;7;0;1;1
com.google.zxing.client.android.history;com.google.zxing.client.android.history.HistoryItemAdapter;2;3;1;10;15;0;1;1
com.google.zxing.client.android.result;com.google.zxing.client.android.result.ResultButtonListener;2;1;1;3;4;0;1;2
com.google.zxing.client.android;com.google.zxing.client.android.Intents$SearchBookContents;1;1;1;0;2;0;0;0
com.google.zxing.client.android.share;com.google.zxing.client.android.share.LoadPackagesAsyncTask$1;2;3;1;8;8;0;1;1
com.google.zxing.client.android;com.google.zxing.client.android.Intents$Encode;1;1;1;0;2;0;0;0
com.google.zxing.client.android;com.google.zxing.client.android.CaptureActivity;31;5;1;60;215;317;1;13
com.google.zxing.client.android;com.google.zxing.client.android.R$string;1;1;1;0;2;0;0;1
com.google.zxing.client.android;com.google.zxing.client.android.Contents$Type;1;1;1;0;2;0;0;0
